split_id,is_blocks,oos_blocks,best_strategy,N_fast,N_slow,is_performance,oos_performance,oos_rank,oos_rank_pct,rank_logit,overfit_event
1,0|1|2|3,4|5|6|7,nf_0010_ns_1577,10,1577,2.3832590222970143,0.17582510980674912,6474.0,0.7096031572023679,0.8934574692734404,False
2,0|1|2|4,3|5|6|7,nf_0047_ns_2031,47,2031,3.083098442923681,-1.6053300787947997,2072.0,0.22703354527515895,-1.2251378683234564,True
3,0|1|2|5,3|4|6|7,nf_0288_ns_0321,288,321,2.8596532439745825,-0.7324219210998849,3602.0,0.3947599210699408,-0.4273474186351693,True
4,0|1|2|6,3|4|5|7,nf_0047_ns_2031,47,2031,2.613096387239377,-0.6754080011993129,4636.0,0.5081122560841921,0.03245187202397233,False
5,0|1|2|7,3|4|5|6,nf_0010_ns_1577,10,1577,3.183940840290244,-0.14398652764386774,8431.0,0.9241394431045823,2.4999660953782312,False
6,0|1|3|4,2|5|6|7,nf_0031_ns_0107,31,107,3.0706351759431594,0.17789385991596404,3396.0,0.3721771541328656,-0.5228880724010607,True
7,0|1|3|5,2|4|6|7,nf_0026_ns_0080,26,80,2.596605224678579,-1.1720013567872463,53.0,0.005700504275378207,-5.161483824527755,True
8,0|1|3|6,2|4|5|7,nf_0031_ns_0107,31,107,2.6351280777235844,0.8160865288906483,5450.0,0.5973470730103048,0.39442333876343105,False
9,0|1|3|7,2|4|5|6,nf_0031_ns_0107,31,107,2.8954156309227765,0.7419197165026231,7307.0,0.800920850690638,1.392059648193989,False
10,0|1|4|5,2|3|6|7,nf_0015_ns_0187,15,187,2.7569064356620077,-0.6069538450062721,1641.0,0.17978513483885114,-1.5178038940898473,True
11,0|1|4|6,2|3|5|7,nf_0031_ns_0348,31,348,2.891420636571084,-0.7171298366096192,1552.0,0.17002850252137688,-1.5854252749267679,True
12,0|1|4|7,2|3|5|6,nf_0015_ns_0855,15,855,3.284166462048733,-0.6741038264255681,3265.0,0.35781626836220126,-0.5848548113036812,True
13,0|1|5|6,2|3|4|7,nf_0288_ns_0321,288,321,2.479549909422518,0.13033316813776916,3644.0,0.3993641745231309,-0.40811508452985196,True
14,0|1|5|7,2|3|4|6,nf_0288_ns_0321,288,321,2.388020951729668,0.2973463822880313,6740.0,0.7387634290725718,1.0395513478474745,False
15,0|1|6|7,2|3|4|5,nf_0010_ns_1390,10,1390,2.7502559442906986,0.8235298558219126,8859.0,0.9710589782942337,3.5131271813368268,False
16,0|2|3|4,1|5|6|7,nf_0159_ns_0160,159,160,2.5792536042677976,-2.359943473863203,9.0,0.0008770006577504934,-7.0381254301439915,True
