window_id,train_start,train_end,test_start,test_end,selected_strategy,selection_metric,selection_score,selected_oos_score,selected_oos_return,selected_oos_sharpe,selected_oos_rank,selected_oos_percentile,failure_flag,best_oos_strategy,best_oos_score,n_candidates
1,2024-01-02 09:35:00,2024-04-10 13:15:00,2024-04-10 13:20:00,2024-04-25 10:00:00,nf_0015_ns_2406,sharpe,5.274742375419992,-1.8275713789958028,-0.001522112570450762,-1.8275713789958088,4587.5,0.5027954395965797,0,nf_0202_ns_0401,12.012027460582718,9123
2,2024-01-03 09:50:00,2024-04-11 13:30:00,2024-04-11 13:35:00,2024-04-26 10:15:00,nf_0047_ns_0588,sharpe,5.1803759988004705,1.0678913848382952,0.0009099531398690797,1.0678913848382907,6902.0,0.7565226923920193,0,nf_0202_ns_0401,11.92275638439984,9123
3,2024-01-04 10:05:00,2024-04-12 13:45:00,2024-04-12 13:50:00,2024-04-29 10:30:00,nf_0015_ns_2406,sharpe,5.728937397039011,-8.295035222527076,-0.008348162492713862,-8.295035222527098,146.5,0.015950449462837097,1,nf_0293_ns_0401,13.645888748215032,9123
4,2024-01-05 10:20:00,2024-04-15 14:00:00,2024-04-15 14:05:00,2024-04-30 10:45:00,nf_0015_ns_2406,sharpe,5.582936716163217,-1.4250699052611957,-0.0016957211431698482,-1.425069905261201,2982.5,0.326847182635387,1,nf_0170_ns_0454,16.653464052379018,9123
5,2024-01-08 10:35:00,2024-04-16 14:15:00,2024-04-16 14:20:00,2024-05-06 11:00:00,nf_0047_ns_2085,sharpe,5.650947250687156,-0.744565721197834,-0.0010045799652808052,-0.7445657211978363,3674.0,0.40265292698969524,1,nf_0170_ns_0454,15.888540718096795,9123
6,2024-01-09 10:50:00,2024-04-17 14:30:00,2024-04-17 14:35:00,2024-05-07 11:15:00,nf_0015_ns_2406,sharpe,5.812269518975328,-0.4045623491361265,-0.0005470620164279572,-0.40456234913612865,4734.0,0.5188555141416356,0,nf_0283_ns_0321,13.287379493465588,9123
7,2024-01-10 11:05:00,2024-04-18 14:45:00,2024-04-18 14:50:00,2024-05-08 11:30:00,nf_0010_ns_0855,sharpe,5.76140817375898,1.5958416071639892,0.0016672921486524661,1.5958416071639907,7430.0,0.8144047358035519,0,nf_0304_ns_0348,12.714085663098377,9123
8,2024-01-11 11:20:00,2024-04-19 15:00:00,2024-04-19 15:05:00,2024-05-09 13:15:00,nf_0010_ns_0855,sharpe,5.997397636264142,1.9289035570149449,0.002049320260657961,1.9289035570149493,7511.0,0.8232843674632756,0,nf_0304_ns_0348,13.58852222742106,9123
9,2024-01-12 13:05:00,2024-04-22 15:15:00,2024-04-23 09:35:00,2024-05-10 13:30:00,nf_0047_ns_0588,sharpe,6.015751686519233,-3.61626866186588,-0.0050695847871490285,-3.616268661865894,3267.0,0.3580355185266389,1,nf_0304_ns_0348,13.523342755140037,9123
10,2024-01-15 13:20:00,2024-04-24 09:45:00,2024-04-24 09:50:00,2024-05-13 13:45:00,nf_0010_ns_1577,sharpe,5.6102279934750445,-1.3153606090890488,-0.0009575649166763123,-1.315360609089058,3557.0,0.38982679237009427,1,nf_0304_ns_0348,12.971095792053037,9123
11,2024-01-16 13:35:00,2024-04-25 10:00:00,2024-04-25 10:05:00,2024-05-14 14:00:00,nf_0047_ns_0588,sharpe,5.715082818647962,-1.2782987146296132,-0.0016831436087713092,-1.2782987146296187,3583.0,0.3926770445077834,1,nf_0304_ns_0348,12.652799584722446,9123
12,2024-01-17 13:50:00,2024-04-26 10:15:00,2024-04-26 10:20:00,2024-05-15 14:15:00,nf_0047_ns_0588,sharpe,5.533193205485925,-2.1857299210915486,-0.0028294333813495554,-2.1857299210915575,3532.0,0.387086165314624,1,nf_0283_ns_0321,12.39385410312191,9123
