strategy_id,N_fast,N_slow
nf_0010_ns_0054,10,54
nf_0010_ns_0080,10,80
nf_0010_ns_0107,10,107
nf_0010_ns_0134,10,134
nf_0010_ns_0160,10,160
nf_0010_ns_0187,10,187
nf_0010_ns_0214,10,214
nf_0010_ns_0241,10,241
nf_0010_ns_0267,10,267
nf_0010_ns_0294,10,294
nf_0010_ns_0321,10,321
nf_0010_ns_0348,10,348
nf_0010_ns_0374,10,374
nf_0010_ns_0401,10,401
nf_0010_ns_0428,10,428
nf_0010_ns_0454,10,454
nf_0010_ns_0481,10,481
nf_0010_ns_0508,10,508
nf_0010_ns_0535,10,535
nf_0010_ns_0561,10,561
nf_0010_ns_0588,10,588
nf_0010_ns_0615,10,615
nf_0010_ns_0642,10,642
nf_0010_ns_0668,10,668
nf_0010_ns_0695,10,695
nf_0010_ns_0722,10,722
nf_0010_ns_0748,10,748
nf_0010_ns_0775,10,775
nf_0010_ns_0802,10,802
nf_0010_ns_0829,10,829
nf_0010_ns_0855,10,855
nf_0010_ns_0882,10,882
nf_0010_ns_0909,10,909
nf_0010_ns_0936,10,936
nf_0010_ns_0962,10,962
nf_0010_ns_0989,10,989
nf_0010_ns_1016,10,1016
nf_0010_ns_1042,10,1042
nf_0010_ns_1069,10,1069
nf_0010_ns_1096,10,1096
nf_0010_ns_1123,10,1123
nf_0010_ns_1149,10,1149
nf_0010_ns_1176,10,1176
nf_0010_ns_1203,10,1203
nf_0010_ns_1230,10,1230
nf_0010_ns_1256,10,1256
nf_0010_ns_1283,10,1283
nf_0010_ns_1310,10,1310
nf_0010_ns_1336,10,1336
nf_0010_ns_1363,10,1363
nf_0010_ns_1390,10,1390
nf_0010_ns_1417,10,1417
nf_0010_ns_1443,10,1443
nf_0010_ns_1470,10,1470
nf_0010_ns_1497,10,1497
nf_0010_ns_1524,10,1524
nf_0010_ns_1550,10,1550
nf_0010_ns_1577,10,1577
nf_0010_ns_1604,10,1604
nf_0010_ns_1630,10,1630
nf_0010_ns_1657,10,1657
nf_0010_ns_1684,10,1684
nf_0010_ns_1711,10,1711
nf_0010_ns_1737,10,1737
nf_0010_ns_1764,10,1764
nf_0010_ns_1791,10,1791
nf_0010_ns_1818,10,1818
nf_0010_ns_1844,10,1844
nf_0010_ns_1871,10,1871
nf_0010_ns_1898,10,1898
nf_0010_ns_1924,10,1924
nf_0010_ns_1951,10,1951
nf_0010_ns_1978,10,1978
nf_0010_ns_2005,10,2005
nf_0010_ns_2031,10,2031
nf_0010_ns_2058,10,2058
nf_0010_ns_2085,10,2085
nf_0010_ns_2112,10,2112
nf_0010_ns_2138,10,2138
nf_0010_ns_2165,10,2165
nf_0010_ns_2192,10,2192
nf_0010_ns_2218,10,2218
nf_0010_ns_2245,10,2245
nf_0010_ns_2272,10,2272
nf_0010_ns_2299,10,2299
nf_0010_ns_2325,10,2325
nf_0010_ns_2352,10,2352
nf_0010_ns_2379,10,2379
nf_0010_ns_2406,10,2406
nf_0010_ns_2432,10,2432
nf_0010_ns_2459,10,2459
nf_0010_ns_2486,10,2486
nf_0010_ns_2512,10,2512
nf_0010_ns_2539,10,2539
nf_0010_ns_2566,10,2566
nf_0010_ns_2593,10,2593
nf_0010_ns_2619,10,2619
nf_0010_ns_2646,10,2646
nf_0010_ns_2673,10,2673
nf_0010_ns_2700,10,2700
nf_0015_ns_0054,15,54
nf_0015_ns_0080,15,80
nf_0015_ns_0107,15,107
nf_0015_ns_0134,15,134
nf_0015_ns_0160,15,160
nf_0015_ns_0187,15,187
nf_0015_ns_0214,15,214
nf_0015_ns_0241,15,241
nf_0015_ns_0267,15,267
nf_0015_ns_0294,15,294
nf_0015_ns_0321,15,321
nf_0015_ns_0348,15,348
nf_0015_ns_0374,15,374
nf_0015_ns_0401,15,401
nf_0015_ns_0428,15,428
nf_0015_ns_0454,15,454
nf_0015_ns_0481,15,481
nf_0015_ns_0508,15,508
nf_0015_ns_0535,15,535
nf_0015_ns_0561,15,561
nf_0015_ns_0588,15,588
nf_0015_ns_0615,15,615
nf_0015_ns_0642,15,642
nf_0015_ns_0668,15,668
nf_0015_ns_0695,15,695
nf_0015_ns_0722,15,722
nf_0015_ns_0748,15,748
nf_0015_ns_0775,15,775
nf_0015_ns_0802,15,802
nf_0015_ns_0829,15,829
nf_0015_ns_0855,15,855
nf_0015_ns_0882,15,882
nf_0015_ns_0909,15,909
nf_0015_ns_0936,15,936
nf_0015_ns_0962,15,962
nf_0015_ns_0989,15,989
nf_0015_ns_1016,15,1016
nf_0015_ns_1042,15,1042
nf_0015_ns_1069,15,1069
nf_0015_ns_1096,15,1096
nf_0015_ns_1123,15,1123
nf_0015_ns_1149,15,1149
nf_0015_ns_1176,15,1176
nf_0015_ns_1203,15,1203
nf_0015_ns_1230,15,1230
nf_0015_ns_1256,15,1256
nf_0015_ns_1283,15,1283
nf_0015_ns_1310,15,1310
nf_0015_ns_1336,15,1336
nf_0015_ns_1363,15,1363
nf_0015_ns_1390,15,1390
nf_0015_ns_1417,15,1417
nf_0015_ns_1443,15,1443
nf_0015_ns_1470,15,1470
nf_0015_ns_1497,15,1497
nf_0015_ns_1524,15,1524
nf_0015_ns_1550,15,1550
nf_0015_ns_1577,15,1577
nf_0015_ns_1604,15,1604
nf_0015_ns_1630,15,1630
nf_0015_ns_1657,15,1657
nf_0015_ns_1684,15,1684
nf_0015_ns_1711,15,1711
nf_0015_ns_1737,15,1737
nf_0015_ns_1764,15,1764
nf_0015_ns_1791,15,1791
nf_0015_ns_1818,15,1818
nf_0015_ns_1844,15,1844
nf_0015_ns_1871,15,1871
nf_0015_ns_1898,15,1898
nf_0015_ns_1924,15,1924
nf_0015_ns_1951,15,1951
nf_0015_ns_1978,15,1978
nf_0015_ns_2005,15,2005
nf_0015_ns_2031,15,2031
nf_0015_ns_2058,15,2058
nf_0015_ns_2085,15,2085
nf_0015_ns_2112,15,2112
nf_0015_ns_2138,15,2138
nf_0015_ns_2165,15,2165
nf_0015_ns_2192,15,2192
nf_0015_ns_2218,15,2218
nf_0015_ns_2245,15,2245
nf_0015_ns_2272,15,2272
nf_0015_ns_2299,15,2299
nf_0015_ns_2325,15,2325
nf_0015_ns_2352,15,2352
nf_0015_ns_2379,15,2379
nf_0015_ns_2406,15,2406
nf_0015_ns_2432,15,2432
nf_0015_ns_2459,15,2459
nf_0015_ns_2486,15,2486
nf_0015_ns_2512,15,2512
nf_0015_ns_2539,15,2539
nf_0015_ns_2566,15,2566
nf_0015_ns_2593,15,2593
nf_0015_ns_2619,15,2619
nf_0015_ns_2646,15,2646
nf_0015_ns_2673,15,2673
nf_0015_ns_2700,15,2700
nf_0020_ns_0054,20,54
nf_0020_ns_0080,20,80
nf_0020_ns_0107,20,107
nf_0020_ns_0134,20,134
nf_0020_ns_0160,20,160
nf_0020_ns_0187,20,187
nf_0020_ns_0214,20,214
nf_0020_ns_0241,20,241
nf_0020_ns_0267,20,267
nf_0020_ns_0294,20,294
nf_0020_ns_0321,20,321
nf_0020_ns_0348,20,348
nf_0020_ns_0374,20,374
nf_0020_ns_0401,20,401
nf_0020_ns_0428,20,428
nf_0020_ns_0454,20,454
nf_0020_ns_0481,20,481
nf_0020_ns_0508,20,508
nf_0020_ns_0535,20,535
nf_0020_ns_0561,20,561
nf_0020_ns_0588,20,588
nf_0020_ns_0615,20,615
nf_0020_ns_0642,20,642
nf_0020_ns_0668,20,668
